  41.87
 628.00
 255522555
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	4.30	195.86	0.00	6.03	6.03	806.32
1993 09 30 12	41472.00	0.18	346.99	0.00	5.16	5.16	661.63
1993 10 01 12	41472.00	0.62	320.99	0.00	5.09	5.09	598.71
1993 10 02 12	41126.40	3.92	155.96	0.00	10.02	10.02	1042.93
1993 10 03 12	41126.40	1.70	350.25	0.00	6.02	6.02	757.37
1993 10 04 12	40780.80	0.90	266.16	0.00	9.00	9.00	908.63
1993 10 05 12	40780.80	4.90	376.42	0.00	5.78	5.78	752.62
1993 10 06 12	40435.20	0.00	356.15	0.00	6.58	6.58	700.29
1993 10 07 12	40435.20	0.00	376.56	0.00	13.81	13.81	1187.30
1993 10 08 12	40089.60	0.00	374.81	0.00	16.13	16.13	1421.02
1993 10 09 12	40089.60	3.08	130.85	0.00	12.58	12.58	1294.31
1993 10 10 12	39744.00	0.05	366.35	0.00	0.60	0.60	516.65
1993 10 11 12	39744.00	0.00	375.21	0.00	1.54	1.54	442.86
1993 10 12 12	39398.40	0.26	182.02	0.00	5.45	5.45	759.55
1993 10 13 12	39398.40	0.00	301.36	0.00	4.15	4.15	630.23
1993 10 14 12	39052.80	0.00	279.89	0.00	4.38	4.38	627.13
1993 10 15 12	39052.80	0.21	218.22	0.00	8.56	8.56	886.41
1993 10 16 12	38707.20	1.22	287.96	0.00	11.52	11.52	1095.27
1993 10 17 12	38707.20	11.85	135.78	0.00	12.90	12.90	1370.36
1993 10 18 12	38361.60	0.93	360.77	0.00	9.54	9.54	1000.62
1993 10 19 12	38361.60	3.08	199.63	0.00	6.91	6.91	839.15
1993 10 20 12	38256.50	6.28	173.58	0.00	10.20	10.20	1155.70
1993 10 21 12	38016.00	11.17	153.12	0.00	12.35	12.35	1294.66
1993 10 22 12	38016.00	0.03	302.97	0.00	5.05	5.05	624.07
1993 10 23 12	37670.40	0.00	348.51	0.00	3.74	3.74	626.31
1993 10 24 12	37670.40	0.00	337.89	0.00	7.17	7.17	667.97
1993 10 25 12	37324.80	0.00	332.61	0.00	8.91	8.91	764.57
1993 10 26 12	37324.80	0.00	314.18	0.00	9.54	9.54	874.66
1993 10 27 12	36979.20	2.10	241.70	0.00	9.78	9.78	1020.89
1993 10 28 12	36979.20	2.05	195.02	0.00	3.88	3.88	652.86
1993 10 29 12	36633.60	0.00	167.85	0.00	4.80	4.80	570.37
1993 10 30 12	36633.60	5.69	116.10	0.00	2.72	2.72	595.85
1993 10 31 12	36633.60	9.72	65.96	0.00	0.51	0.51	582.51
1993 11 01 12	36288.00	5.97	173.93	0.00	-1.12	-1.12	514.25
1993 11 02 12	36288.00	0.28	304.27	0.00	-3.04	-3.04	432.19
1993 11 03 12	35942.40	0.37	138.38	0.00	0.25	0.25	520.11
1993 11 04 12	35942.40	0.41	226.72	0.00	2.71	2.71	643.87
1993 11 05 12	35837.30	3.04	201.87	0.00	8.10	8.10	939.48
1993 11 06 12	35596.80	2.55	140.17	0.00	3.39	3.39	682.90
1993 11 07 12	35596.80	0.21	202.66	0.00	-0.76	-0.76	461.74
1993 11 08 12	35251.20	0.00	288.38	0.00	-0.95	-0.95	415.65
1993 11 09 12	35251.20	0.00	241.10	0.00	0.61	0.61	411.04
1993 11 10 12	35251.20	0.00	275.14	0.00	1.23	1.23	450.02
1993 11 11 12	34905.60	0.39	211.12	0.00	3.65	3.65	542.86
1993 11 12 12	34905.60	2.71	261.71	0.00	5.22	5.22	624.48
1993 11 13 12	34631.14	2.39	84.33	0.00	4.61	4.61	704.44
1993 11 14 12	34560.00	9.15	94.44	0.00	11.98	11.98	1353.49
1993 11 15 12	34560.00	1.66	182.94	0.00	13.68	13.68	1395.37
1993 11 16 12	34214.40	0.34	271.39	0.00	3.74	3.74	671.40
1993 11 17 12	34214.40	27.59	108.49	0.00	5.11	5.11	839.19
1993 11 18 12	34214.40	7.64	256.90	0.00	3.17	3.17	644.20
1993 11 19 12	33939.94	0.00	171.96	0.00	3.18	3.18	635.00
1993 11 20 12	33868.80	2.79	141.42	0.00	0.34	0.34	529.18
1993 11 21 12	33868.80	0.27	188.84	0.00	-0.56	-0.56	389.20
1993 11 22 12	33868.80	0.00	257.06	0.00	2.43	2.43	451.11
1993 11 23 12	33523.20	0.00	231.78	0.00	3.45	3.45	577.53
1993 11 24 12	33523.20	0.48	143.33	0.00	4.33	4.33	606.36
1993 11 25 12	33523.20	0.00	262.18	0.00	-2.99	-2.99	367.76
1993 11 26 12	33248.74	0.00	137.37	0.00	-1.61	-1.61	418.77
1993 11 27 12	33177.60	11.71	76.78	0.00	1.88	1.88	613.85
1993 11 28 12	33177.60	35.97	193.80	0.00	5.47	5.47	817.74
1993 11 29 12	33177.60	0.45	79.81	0.00	-1.16	-1.16	435.67
1993 11 30 12	33072.50	0.52	194.67	0.00	-1.78	-1.78	413.73
1993 12 01 12	32832.00	0.91	244.68	0.00	-2.22	-2.22	374.88
1993 12 02 12	32832.00	0.16	229.80	0.00	-0.23	-0.23	476.40
1993 12 03 12	32832.00	1.22	241.71	0.00	3.03	3.03	652.19
1993 12 04 12	32832.00	10.69	72.06	0.00	3.15	3.15	711.54
1993 12 05 12	32726.90	6.81	219.00	0.00	3.73	3.73	747.33
1993 12 06 12	32486.40	1.17	176.18	0.00	-0.02	-0.02	555.08
1993 12 07 12	32486.40	2.49	225.27	0.00	1.21	1.21	581.79
1993 12 08 12	32486.40	0.00	138.59	0.00	-0.34	-0.34	491.92
1993 12 09 12	32486.40	0.00	213.02	0.00	0.45	0.45	485.26
1993 12 10 12	32486.40	6.04	70.17	0.00	2.86	2.86	655.60
1993 12 11 12	32486.40	1.20	109.13	0.00	-2.84	-2.84	449.01
1993 12 12 12	32486.40	0.00	236.20	0.00	-9.80	-9.80	230.37
