  36.64
 200.00
1452362241
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	0.00	385.36	0.00	12.94	12.94	976.85
1993 09 30 12	41817.60	0.00	451.51	0.00	12.99	12.99	999.23
1993 10 01 12	41817.60	1.28	273.18	0.00	17.86	17.86	1611.68
1993 10 02 12	41472.00	39.85	203.20	0.00	14.96	14.96	1412.22
1993 10 03 12	41472.00	0.00	467.38	0.00	12.04	12.04	970.33
1993 10 04 12	41126.40	0.00	462.68	0.00	15.26	15.26	1229.68
1993 10 05 12	41126.40	0.00	455.00	0.00	18.34	18.34	1526.10
1993 10 06 12	41070.19	0.00	453.13	0.00	18.96	18.96	1641.33
1993 10 07 12	40780.80	0.00	448.70	0.00	19.49	19.49	1670.84
1993 10 08 12	40780.80	0.95	280.18	0.00	19.09	19.09	1742.43
1993 10 09 12	40435.20	1.61	251.65	0.00	15.47	15.47	1540.35
1993 10 10 12	40435.20	0.00	451.09	0.00	6.33	6.33	771.93
1993 10 11 12	40249.57	3.67	318.29	0.00	8.93	8.93	920.67
1993 10 12 12	40089.60	0.00	423.98	0.00	12.24	12.24	1049.47
1993 10 13 12	40089.60	0.06	186.40	0.00	12.85	12.85	1099.57
1993 10 14 12	39744.00	0.00	387.39	0.00	13.70	13.70	1097.69
1993 10 15 12	39744.00	0.09	425.05	0.00	15.85	15.85	1454.33
1993 10 16 12	39558.37	18.20	254.05	0.00	18.18	18.18	1817.99
1993 10 17 12	39398.40	8.83	358.56	0.00	17.07	17.07	1658.42
1993 10 18 12	39398.40	2.18	284.02	0.00	16.20	16.20	1617.14
1993 10 19 12	39052.80	10.14	237.62	0.00	18.85	18.85	1918.02
1993 10 20 12	39052.80	9.72	208.93	0.00	17.60	17.60	1877.40
1993 10 21 12	38954.48	0.12	432.35	0.00	11.09	11.09	954.81
1993 10 22 12	38707.20	0.00	424.12	0.00	10.29	10.29	660.03
1993 10 23 12	38707.20	0.00	417.30	0.00	11.83	11.83	774.45
1993 10 24 12	38397.44	0.00	398.05	0.00	12.16	12.16	874.00
1993 10 25 12	38361.60	0.00	401.35	0.00	13.02	13.02	1060.06
1993 10 26 12	38360.46	0.00	392.13	0.00	13.13	13.13	1093.73
1993 10 27 12	38016.00	0.00	332.01	0.00	8.55	8.55	829.01
1993 10 28 12	38016.00	0.09	394.24	0.00	6.69	6.69	681.39
1993 10 29 12	37917.68	0.53	161.57	0.00	7.03	7.03	717.61
1993 10 30 12	37670.40	2.94	236.82	0.00	-0.03	-0.03	458.65
1993 10 31 12	37670.40	0.13	270.54	0.00	-0.35	-0.35	410.33
1993 11 01 12	37484.77	1.71	287.23	0.00	1.53	1.53	451.80
1993 11 02 12	37324.80	4.47	139.22	0.00	5.44	5.44	712.48
1993 11 03 12	37324.80	4.77	344.89	0.00	7.71	7.71	848.43
1993 11 04 12	37096.34	0.00	328.52	0.00	10.89	10.89	1077.12
1993 11 05 12	36979.20	0.00	283.48	0.00	7.70	7.70	847.85
1993 11 06 12	36979.20	0.00	253.09	0.00	-0.49	-0.49	391.56
1993 11 07 12	36793.57	0.00	339.89	0.00	-0.37	-0.37	364.08
1993 11 08 12	36633.60	0.00	334.84	0.00	3.68	3.68	467.34
1993 11 09 12	36633.60	0.00	218.76	0.00	6.89	6.89	610.29
1993 11 10 12	36492.74	0.00	324.98	0.00	9.04	9.04	762.61
1993 11 11 12	36288.00	0.00	298.87	0.00	9.71	9.71	923.75
1993 11 12 12	36288.00	32.97	108.79	0.00	11.41	11.41	1255.37
1993 11 13 12	36231.79	9.95	163.53	0.00	15.46	15.46	1630.85
1993 11 14 12	35978.24	73.71	117.53	0.00	17.00	17.00	1862.08
1993 11 15 12	35942.40	7.28	261.82	0.00	7.50	7.50	927.72
1993 11 16 12	35942.40	7.58	105.09	0.00	4.62	4.62	796.52
1993 11 17 12	35756.77	8.78	269.87	0.00	7.39	7.39	926.44
1993 11 18 12	35596.80	0.00	307.47	0.00	5.56	5.56	787.92
1993 11 19 12	35596.80	0.00	250.24	0.00	6.52	6.52	848.94
1993 11 20 12	35595.66	0.53	311.47	0.00	2.90	2.90	454.84
1993 11 21 12	35411.17	0.88	306.05	0.00	4.17	4.17	470.75
1993 11 22 12	35251.20	0.30	303.80	0.00	5.09	5.09	570.27
1993 11 23 12	35251.20	0.00	276.14	0.00	8.81	8.81	788.32
1993 11 24 12	35251.20	0.80	164.72	0.00	10.51	10.51	1071.53
1993 11 25 12	35110.34	2.24	199.85	0.00	3.70	3.70	702.58
1993 11 26 12	34941.44	6.60	274.39	0.00	-1.60	-1.60	468.36
1993 11 27 12	34905.60	0.02	290.03	0.00	-2.08	-2.08	378.38
1993 11 28 12	34905.60	0.16	236.00	0.00	0.30	0.30	453.78
1993 11 29 12	34904.46	0.00	290.53	0.00	2.00	2.00	530.61
1993 11 30 12	34764.74	0.00	279.05	0.00	1.92	1.92	567.01
1993 12 01 12	34637.41	0.01	139.22	0.00	3.55	3.55	692.70
1993 12 02 12	34560.00	15.88	194.60	0.00	10.18	10.18	1116.54
1993 12 03 12	34560.00	3.55	92.58	0.00	8.72	8.72	1067.39
1993 12 04 12	34560.00	3.21	76.30	0.00	9.35	9.35	1142.42
1993 12 05 12	34558.86	2.79	275.13	0.00	5.20	5.20	801.82
1993 12 06 12	34503.79	0.00	284.83	0.00	3.53	3.53	599.65
1993 12 07 12	34374.37	0.00	276.96	0.00	2.66	2.66	540.46
1993 12 08 12	34291.81	0.00	283.71	0.00	3.92	3.92	585.89
1993 12 09 12	34215.11	0.00	260.67	0.00	8.94	8.94	1061.88
1993 12 10 12	34214.40	0.01	281.10	0.00	12.30	12.30	1164.65
1993 12 11 12	34214.40	0.00	282.96	0.00	1.95	1.95	504.13
1993 12 12 12	34214.40	0.00	227.40	0.00	1.88	1.88	434.52
1993 12 13 12	34214.40	19.80	101.48	0.00	3.36	3.36	676.99
1993 12 14 12	34214.40	2.96	62.61	0.00	4.21	4.21	795.20
1993 12 15 12	34214.40	0.21	173.36	0.00	3.36	3.36	704.88
1993 12 16 12	34213.26	0.00	269.99	0.00	3.79	3.79	724.28
