  32.03
  90.00
 187693872
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	42163.20	0.00	515.65	0.00	22.86	22.86	1485.52
1993 09 30 12	42163.20	0.00	511.11	0.00	21.78	21.78	1639.82
1993 10 01 12	41817.60	0.00	447.11	0.00	23.18	23.18	1974.17
1993 10 02 12	41817.60	3.99	302.09	0.00	23.68	23.68	2249.24
1993 10 03 12	41817.60	0.13	357.86	0.00	22.25	22.25	1999.65
1993 10 04 12	41472.00	0.01	369.26	0.00	21.32	21.32	1789.70
1993 10 05 12	41472.00	0.00	412.63	0.00	24.14	24.14	1950.96
1993 10 06 12	41472.00	0.00	460.30	0.00	22.96	22.96	1776.64
1993 10 07 12	41126.40	0.00	419.16	0.00	23.38	23.38	1845.46
1993 10 08 12	41126.40	4.19	303.60	0.00	25.26	25.26	2295.93
1993 10 09 12	41126.40	41.74	378.53	0.00	23.90	23.90	2325.35
1993 10 10 12	40780.80	0.00	458.67	0.00	15.44	15.44	1302.33
1993 10 11 12	40780.80	0.49	274.24	0.00	14.98	14.98	1313.66
1993 10 12 12	40780.80	1.29	262.83	0.00	18.34	18.34	1700.90
1993 10 13 12	40435.20	5.94	331.72	0.00	18.89	18.89	1808.83
1993 10 14 12	40435.20	0.30	429.79	0.00	18.86	18.86	1756.91
1993 10 15 12	40435.20	0.00	457.24	0.00	20.07	20.07	1783.21
1993 10 16 12	40089.60	0.00	451.61	0.00	22.71	22.71	1892.06
1993 10 17 12	40089.60	0.00	359.91	0.00	25.59	25.59	2405.94
1993 10 18 12	40089.60	0.31	324.78	0.00	26.31	26.31	2599.29
1993 10 19 12	39744.00	4.91	278.62	0.00	24.96	24.96	2524.73
1993 10 20 12	39744.00	42.81	129.78	0.00	21.44	21.44	2286.90
1993 10 21 12	39744.00	6.69	139.75	0.00	14.69	14.69	1453.04
1993 10 22 12	39398.40	0.21	463.18	0.00	12.04	12.04	949.27
1993 10 23 12	39398.40	0.01	460.40	0.00	11.56	11.56	849.68
1993 10 24 12	39398.40	0.00	419.00	0.00	14.01	14.01	1004.35
1993 10 25 12	39052.80	0.00	429.63	0.00	17.59	17.59	1389.04
1993 10 26 12	39052.80	0.00	423.66	0.00	19.46	19.46	1530.93
1993 10 27 12	39052.80	0.00	262.99	0.00	14.58	14.58	1181.61
1993 10 28 12	38707.20	0.00	434.89	0.00	12.21	12.21	889.02
1993 10 29 12	38707.20	3.59	124.17	0.00	15.14	15.14	1525.36
1993 10 30 12	38707.20	5.71	204.19	0.00	5.80	5.80	736.79
1993 10 31 12	38707.20	0.00	360.22	0.00	3.38	3.38	413.95
1993 11 01 12	38361.60	0.00	377.86	0.00	4.95	4.95	466.12
1993 11 02 12	38361.60	0.23	138.52	0.00	8.86	8.86	858.24
1993 11 03 12	38361.60	11.54	125.25	0.00	14.83	14.83	1517.61
1993 11 04 12	38016.00	1.97	334.28	0.00	18.03	18.03	1781.71
1993 11 05 12	38016.00	0.00	350.01	0.00	18.61	18.61	1734.19
1993 11 06 12	38016.00	0.00	346.44	0.00	6.23	6.23	587.36
1993 11 07 12	38016.00	0.00	376.21	0.00	2.53	2.53	417.37
1993 11 08 12	37670.40	0.53	176.64	0.00	5.44	5.44	598.00
1993 11 09 12	37670.40	5.30	148.13	0.00	11.03	11.03	1097.02
1993 11 10 12	37670.40	0.00	268.79	0.00	14.09	14.09	1205.30
1993 11 11 12	37604.93	0.00	343.68	0.00	15.13	15.13	1192.58
1993 11 12 12	37324.80	0.79	252.27	0.00	19.58	19.58	1837.95
1993 11 13 12	37324.80	2.22	231.04	0.00	23.28	23.28	2349.70
1993 11 14 12	37324.80	40.81	155.78	0.00	22.57	22.57	2298.41
1993 11 15 12	37324.80	13.48	122.19	0.00	15.90	15.90	1640.55
1993 11 16 12	36979.20	15.75	148.59	0.00	13.95	13.95	1495.04
1993 11 17 12	36979.20	4.78	330.63	0.00	11.80	11.80	1170.49
1993 11 18 12	36979.20	0.00	316.79	0.00	10.54	10.54	1003.74
1993 11 19 12	36979.20	0.00	241.69	0.00	14.13	14.13	1295.07
1993 11 20 12	36769.36	0.00	349.36	0.00	8.02	8.02	697.48
1993 11 21 12	36633.60	0.00	344.97	0.00	6.22	6.22	539.06
1993 11 22 12	36633.60	0.00	343.88	0.00	7.74	7.74	593.77
1993 11 23 12	36633.60	0.00	324.38	0.00	10.43	10.43	867.11
1993 11 24 12	36633.60	0.29	203.87	0.00	15.34	15.34	1419.55
1993 11 25 12	36423.77	2.06	86.61	0.00	9.52	9.52	1039.63
1993 11 26 12	36288.00	1.79	110.90	0.00	1.30	1.30	580.65
1993 11 27 12	36288.00	0.00	339.64	0.00	0.99	0.99	460.43
1993 11 28 12	36288.00	0.00	332.63	0.00	5.20	5.20	536.95
1993 11 29 12	36288.00	0.00	328.38	0.00	9.16	9.16	676.26
1993 11 30 12	36288.00	0.00	320.71	0.00	11.08	11.08	850.33
1993 12 01 12	36222.54	0.00	319.51	0.00	13.70	13.70	1157.04
1993 12 02 12	35942.40	0.66	177.99	0.00	16.77	16.77	1594.96
1993 12 03 12	35942.40	12.50	190.42	0.00	18.79	18.79	1974.17
1993 12 04 12	35942.40	16.07	295.95	0.00	15.80	15.80	1511.33
1993 12 05 12	35942.40	0.00	321.55	0.00	9.57	9.57	800.52
1993 12 06 12	35942.40	0.00	337.25	0.00	9.82	9.82	791.01
1993 12 07 12	35942.40	0.00	245.94	0.00	8.01	8.01	722.49
1993 12 08 12	35942.40	0.00	176.33	0.00	15.05	15.05	1377.01
1993 12 09 12	35942.40	0.04	201.52	0.00	18.85	18.85	1803.66
1993 12 10 12	35876.93	2.40	323.75	0.00	19.64	19.64	1813.71
1993 12 11 12	35732.56	0.00	338.74	0.00	10.14	10.14	777.06
1993 12 12 12	35596.80	0.00	247.85	0.00	6.85	6.85	683.05
1993 12 13 12	35596.80	23.88	280.53	0.00	15.50	15.50	1373.89
1993 12 14 12	35596.80	0.06	229.27	0.00	9.97	9.97	777.80
1993 12 15 12	35596.80	0.00	254.05	0.00	7.37	7.37	690.65
1993 12 16 12	35596.80	0.00	321.58	0.00	7.18	7.18	743.09
1993 12 17 12	35596.80	3.72	129.23	0.00	10.17	10.17	998.52
1993 12 18 12	35596.80	1.53	334.00	0.00	10.81	10.81	973.60
1993 12 19 12	35596.80	0.05	271.36	0.00	8.78	8.78	784.01
1993 12 20 12	35596.80	2.00	118.37	0.00	11.80	11.80	1203.64
1993 12 21 12	35596.80	1.94	321.84	0.00	4.51	4.51	573.67
1993 12 22 12	35596.80	4.94	72.92	0.00	5.84	5.84	755.18
1993 12 23 12	35596.80	0.39	338.11	0.00	1.61	1.61	501.06
1993 12 24 12	35596.80	0.00	275.94	0.00	1.67	1.67	451.99
1993 12 25 12	35596.80	0.00	342.81	0.00	2.79	2.79	488.84
1993 12 26 12	35596.80	0.00	337.70	0.00	5.78	5.78	579.28
1993 12 27 12	35596.80	1.05	271.88	0.00	11.39	11.39	1139.60
1993 12 28 12	35596.80	3.28	125.12	0.00	14.61	14.61	1499.05
1993 12 29 12	35596.80	1.10	267.63	0.00	6.46	6.46	742.57
1993 12 30 12	35618.49	0.00	347.11	0.00	2.66	2.66	513.11
1993 12 31 12	35876.93	0.00	327.24	0.00	4.29	4.29	498.65
1994 01 01 12	35942.40	2.53	169.75	0.00	9.51	9.51	956.84
1994 01 02 12	35942.40	0.00	300.55	0.00	9.84	9.84	885.97
1994 01 03 12	35942.40	0.45	263.49	0.00	8.62	8.62	842.34
1994 01 04 12	35942.40	0.00	240.19	0.00	3.82	3.82	575.48
1994 01 05 12	35942.40	0.05	307.29	0.00	4.12	4.12	622.81
1994 01 06 12	35942.40	0.00	297.07	0.00	14.45	14.45	1415.11
1994 01 07 12	35942.40	0.45	286.79	0.00	10.70	10.70	1077.83
1994 01 08 12	35942.40	0.00	322.44	0.00	1.18	1.18	392.91
1994 01 09 12	36078.16	0.00	319.15	0.00	3.42	3.42	455.79
1994 01 10 12	36288.00	0.12	214.18	0.00	7.18	7.18	741.20
1994 01 11 12	36288.00	22.23	178.95	0.00	10.86	10.86	1157.63
1994 01 12 12	36288.00	0.00	263.94	0.00	9.45	9.45	1035.30
1994 01 13 12	36288.00	0.03	311.56	0.00	10.28	10.28	987.44
1994 01 14 12	36288.00	0.00	321.64	0.00	8.00	8.00	717.31
1994 01 15 12	36288.00	0.09	307.56	0.00	4.67	4.67	593.91
1994 01 16 12	36633.60	0.37	137.80	0.00	3.81	3.81	608.77
1994 01 17 12	36633.60	18.11	302.28	0.00	9.99	9.99	1092.29
1994 01 18 12	36633.60	0.00	330.15	0.00	-0.34	-0.34	439.52
1994 01 19 12	36633.60	0.02	331.44	0.00	-1.06	-1.06	326.05
1994 01 20 12	36633.60	0.06	136.87	0.00	2.86	2.86	605.61
1994 01 21 12	36979.20	0.00	110.66	0.00	3.67	3.67	620.37
1994 01 22 12	36979.20	0.19	82.39	0.00	5.76	5.76	658.37
1994 01 23 12	36979.20	0.21	124.81	0.00	9.42	9.42	804.53
1994 01 24 12	36979.20	0.76	105.32	0.00	12.17	12.17	1135.02
1994 01 25 12	37000.89	1.57	242.62	0.00	17.43	17.43	1677.79
1994 01 26 12	37324.80	18.16	181.85	0.00	18.61	18.61	1829.49
1994 01 27 12	37324.80	43.36	154.06	0.00	17.57	17.57	1776.36
1994 01 28 12	37324.80	7.14	277.64	0.00	7.11	7.11	813.82
1994 01 29 12	37324.80	0.02	125.52	0.00	4.69	4.69	614.11
1994 01 30 12	37670.40	0.00	251.36	0.00	4.71	4.71	620.58
1994 01 31 12	37670.40	0.00	184.26	0.00	4.76	4.76	567.28
1994 02 01 12	37670.40	0.00	319.71	0.00	2.22	2.22	377.75
1994 02 02 12	37692.09	0.00	384.61	0.00	2.03	2.03	386.99
1994 02 03 12	38016.00	0.00	263.62	0.00	4.50	4.50	471.59
1994 02 04 12	38016.00	0.00	211.81	0.00	10.86	10.86	1088.81
1994 02 05 12	38016.00	0.29	343.34	0.00	18.09	18.09	1676.61
1994 02 06 12	38296.14	1.87	371.73	0.00	14.25	14.25	1119.90
1994 02 07 12	38361.60	0.01	287.99	0.00	16.17	16.17	1379.66
1994 02 08 12	38361.60	0.11	365.69	0.00	21.05	21.05	2024.68
1994 02 09 12	38361.60	24.94	73.23	0.00	13.64	13.64	1511.57
1994 02 10 12	38707.20	62.35	121.92	0.00	-0.27	-0.27	572.28
1994 02 11 12	38707.20	27.56	376.46	0.00	-0.56	-0.56	530.44
1994 02 12 12	38707.20	0.17	226.33	0.00	6.87	6.87	956.00
1994 02 13 12	39052.80	0.23	404.05	0.00	9.05	9.05	846.69
1994 02 14 12	39052.80	0.03	395.21	0.00	5.76	5.76	553.44
1994 02 15 12	39052.80	1.13	264.43	0.00	9.00	9.00	807.89
1994 02 16 12	39188.56	0.00	402.78	0.00	11.19	11.19	878.35
1994 02 17 12	39398.40	0.00	399.31	0.00	11.71	11.71	811.78
1994 02 18 12	39398.40	0.00	363.79	0.00	13.21	13.21	1043.61
1994 02 19 12	39398.40	0.06	271.44	0.00	17.48	17.48	1646.83
1994 02 20 12	39744.00	23.15	190.55	0.00	18.28	18.28	1852.72
1994 02 21 12	39744.00	6.36	354.20	0.00	17.89	17.89	1733.03
1994 02 22 12	39744.00	32.48	165.01	0.00	18.78	18.78	1900.78
1994 02 23 12	40089.60	3.08	261.45	0.00	12.28	12.28	1249.61
1994 02 24 12	40089.60	0.00	428.16	0.00	4.32	4.32	565.54
1994 02 25 12	40089.60	0.00	399.60	0.00	8.26	8.26	827.51
1994 02 26 12	40435.20	0.00	278.44	0.00	6.77	6.77	661.85
1994 02 27 12	40435.20	0.00	206.69	0.00	2.80	2.80	494.30
1994 02 28 12	40435.20	0.02	237.57	0.00	9.14	9.14	789.44
1994 03 01 12	40780.80	34.29	159.05	0.00	12.92	12.92	1334.55
1994 03 02 12	40780.80	2.17	363.31	0.00	8.90	8.90	934.17
1994 03 03 12	40780.80	0.00	458.11	0.00	8.41	8.41	779.59
1994 03 04 12	41126.40	0.00	419.78	0.00	13.04	13.04	1010.23
1994 03 05 12	41126.40	0.00	435.06	0.00	16.53	16.53	1391.78
1994 03 06 12	41126.40	0.41	300.52	0.00	18.63	18.63	1723.84
1994 03 07 12	41472.00	0.00	445.85	0.00	19.42	19.42	1754.08
1994 03 08 12	41472.00	2.20	331.31	0.00	20.33	20.33	1959.94
