  38.30
3375.00
 235588171
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41817.60	0.00	437.47	0.00	13.65	13.65	236.93
1993 09 30 12	41817.60	0.00	435.38	0.00	13.33	13.33	240.44
1993 10 01 12	41472.00	0.00	448.02	0.00	11.71	11.71	225.60
1993 10 02 12	41472.00	0.00	443.89	0.00	11.04	11.04	253.89
1993 10 03 12	41268.74	0.00	440.54	0.00	12.18	12.18	315.92
1993 10 04 12	41126.40	0.00	428.75	0.00	13.52	13.52	329.10
1993 10 05 12	41126.40	0.55	400.61	0.00	13.39	13.39	479.74
1993 10 06 12	40780.80	22.02	325.76	0.00	10.28	10.28	657.63
1993 10 07 12	40780.80	6.88	276.86	0.00	6.73	6.73	485.59
1993 10 08 12	40435.20	2.24	183.71	0.00	4.92	4.92	426.50
1993 10 09 12	40435.20	6.89	352.04	0.00	2.68	2.68	379.50
1993 10 10 12	40089.60	0.42	410.94	0.00	6.41	6.41	454.33
1993 10 11 12	40089.60	5.96	263.50	0.00	6.47	6.47	495.00
1993 10 12 12	40089.60	0.91	406.72	0.00	6.36	6.36	542.36
1993 10 13 12	39744.00	0.00	378.83	0.00	5.99	5.99	446.90
1993 10 14 12	39744.00	0.01	399.72	0.00	6.89	6.89	419.10
1993 10 15 12	39398.40	0.92	270.88	0.00	5.39	5.39	387.57
1993 10 16 12	39398.40	2.24	322.65	0.00	5.00	5.00	428.45
1993 10 17 12	39344.73	18.01	311.71	0.00	3.38	3.38	472.22
1993 10 18 12	39052.80	6.47	271.29	0.00	1.15	1.15	425.37
1993 10 19 12	39052.80	1.17	394.25	0.00	1.54	1.54	405.07
1993 10 20 12	38707.20	0.00	401.83	0.00	2.25	2.25	334.27
1993 10 21 12	38707.20	0.00	387.38	0.00	4.73	4.73	323.41
1993 10 22 12	38381.72	0.00	333.25	0.00	6.33	6.33	347.41
1993 10 23 12	38361.60	0.00	389.25	0.00	6.17	6.17	341.20
1993 10 24 12	38361.60	0.00	384.67	0.00	6.29	6.29	320.93
1993 10 25 12	38016.00	0.00	386.35	0.00	5.48	5.48	329.27
1993 10 26 12	38016.00	0.00	386.58	0.00	2.17	2.17	258.79
1993 10 27 12	37812.74	0.00	382.30	0.00	0.03	0.03	219.32
1993 10 28 12	37670.40	0.00	306.24	0.00	2.53	2.53	218.44
1993 10 29 12	37670.40	0.00	320.80	0.00	2.10	2.10	335.62
1993 10 30 12	37324.80	0.95	372.88	0.00	-1.49	-1.49	212.54
1993 10 31 12	37324.80	1.13	358.14	0.00	2.74	2.74	251.22
1993 11 01 12	37324.80	0.00	340.44	0.00	3.13	3.13	262.57
1993 11 02 12	36979.20	0.51	350.49	0.00	-2.30	-2.30	176.62
1993 11 03 12	36979.20	0.00	321.71	0.00	0.90	0.90	206.80
1993 11 04 12	36925.53	0.00	344.61	0.00	2.05	2.05	219.42
1993 11 05 12	36633.60	1.03	345.30	0.00	-3.14	-3.14	208.34
1993 11 06 12	36633.60	0.34	343.02	0.00	-5.00	-5.00	165.48
1993 11 07 12	36430.34	0.33	298.30	0.00	-1.44	-1.44	146.73
1993 11 08 12	36288.00	0.00	343.63	0.00	-1.23	-1.23	127.85
1993 11 09 12	36288.00	0.15	332.06	0.00	0.00	0.00	131.88
1993 11 10 12	36084.74	0.18	316.88	0.00	2.22	2.22	181.93
1993 11 11 12	35942.40	20.17	250.74	0.00	1.83	1.83	373.67
1993 11 12 12	35942.40	6.96	229.38	0.00	-1.93	-1.93	391.56
1993 11 13 12	35888.73	1.42	159.44	0.00	-3.54	-3.54	321.76
1993 11 14 12	35596.80	0.90	251.01	0.00	-4.46	-4.46	298.13
1993 11 15 12	35596.80	0.00	319.27	0.00	-5.78	-5.78	255.27
1993 11 16 12	35596.80	0.00	315.37	0.00	-4.10	-4.10	227.90
1993 11 17 12	35251.20	0.00	259.73	0.00	-2.61	-2.61	247.79
1993 11 18 12	35251.20	0.00	186.36	0.00	-1.98	-1.98	306.88
1993 11 19 12	35251.20	0.00	315.31	0.00	-4.57	-4.57	189.30
1993 11 20 12	35047.94	0.00	311.17	0.00	-4.38	-4.38	151.54
1993 11 21 12	34905.60	0.00	298.02	0.00	-1.62	-1.62	169.65
1993 11 22 12	34905.60	2.43	160.42	0.00	1.26	1.26	349.67
1993 11 23 12	34905.60	0.19	296.04	0.00	0.67	0.67	393.01
1993 11 24 12	34702.34	0.12	301.60	0.00	-7.57	-7.57	140.50
1993 11 25 12	34560.00	0.00	309.05	0.00	-12.83	-12.83	96.75
1993 11 26 12	34560.00	0.00	303.67	0.00	-11.38	-11.38	90.80
1993 11 27 12	34560.00	0.00	299.95	0.00	-7.00	-7.00	153.10
1993 11 28 12	34560.00	0.00	200.14	0.00	-2.85	-2.85	191.17
1993 11 29 12	34234.52	0.04	289.46	0.00	-0.73	-0.73	230.90
1993 11 30 12	34214.40	3.81	178.89	0.00	-1.10	-1.10	324.09
1993 12 01 12	34214.40	0.94	289.64	0.00	-3.71	-3.71	306.62
1993 12 02 12	34214.40	0.00	263.24	0.00	-3.22	-3.22	259.43
1993 12 03 12	34214.40	0.00	285.11	0.00	-5.78	-5.78	225.69
1993 12 04 12	34160.73	0.00	282.74	0.00	-3.73	-3.73	246.66
1993 12 05 12	33868.80	0.00	288.68	0.00	-5.56	-5.56	204.17
1993 12 06 12	33868.80	0.00	284.32	0.00	-4.19	-4.19	189.33
1993 12 07 12	33868.80	0.00	277.99	0.00	-3.84	-3.84	175.76
1993 12 08 12	33868.80	0.00	277.19	0.00	-1.75	-1.75	198.21
1993 12 09 12	33868.80	0.00	208.92	0.00	-0.81	-0.81	213.34
1993 12 10 12	33868.80	0.00	278.35	0.00	-0.33	-0.33	227.37
1993 12 11 12	33868.80	0.04	271.95	0.00	0.73	0.73	239.00
1993 12 12 12	33815.13	27.42	189.74	0.00	-2.96	-2.96	300.58
1993 12 13 12	33665.54	0.01	278.91	0.00	-6.90	-6.90	163.35
1993 12 14 12	33543.32	2.13	269.87	0.00	-5.33	-5.33	202.40
1993 12 15 12	33523.20	3.50	241.91	0.00	-6.53	-6.53	238.81
1993 12 16 12	33523.20	2.86	240.07	0.00	-8.12	-8.12	264.74
1993 12 17 12	33523.20	0.06	274.55	0.00	-9.70	-9.70	209.96
1993 12 18 12	33523.20	0.00	277.45	0.00	-8.64	-8.64	192.74
1993 12 19 12	33523.20	0.11	276.93	0.00	-7.57	-7.57	211.17
1993 12 20 12	33523.20	0.12	282.27	0.00	-11.51	-11.51	183.45
1993 12 21 12	33523.20	0.00	288.48	0.00	-11.14	-11.14	144.29
1993 12 22 12	33523.20	0.32	281.13	0.00	-12.62	-12.62	161.86
1993 12 23 12	33523.20	0.34	249.84	0.00	-10.90	-10.90	176.11
1993 12 24 12	33523.20	0.00	279.25	0.00	-11.55	-11.55	156.84
1993 12 25 12	33523.20	0.00	280.98	0.00	-6.73	-6.73	188.51
1993 12 26 12	33523.20	0.00	259.65	0.00	-3.48	-3.48	211.33
1993 12 27 12	33523.20	3.46	90.46	0.00	-3.34	-3.34	300.14
1993 12 28 12	33543.32	3.07	181.63	0.00	-4.72	-4.72	350.14
1993 12 29 12	33815.13	0.00	281.24	0.00	-7.29	-7.29	254.54
1993 12 30 12	33868.80	0.16	251.91	0.00	-5.63	-5.63	216.16
1993 12 31 12	33868.80	0.19	280.84	0.00	-4.01	-4.01	243.25
1994 01 01 12	33868.80	0.00	223.23	0.00	-3.28	-3.28	206.72
1994 01 02 12	33868.80	0.00	255.24	0.00	-2.16	-2.16	202.16
