  46.38
 258.00
  141870679
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	41472.00	0.01	378.07	0.00	15.12	15.12	1334.12
1993 09 30 12	41126.40	0.01	363.41	0.00	13.12	13.12	1266.00
1993 10 01 12	41126.40	0.00	375.75	0.00	12.14	12.14	1168.41
1993 10 02 12	40780.80	0.00	370.97	0.00	14.01	14.01	1260.16
1993 10 03 12	40780.80	0.03	366.04	0.00	14.56	14.56	1298.59
1993 10 04 12	40435.20	0.01	362.46	0.00	12.00	12.00	1185.46
1993 10 05 12	40125.57	0.02	298.48	0.00	11.27	11.27	1190.35
1993 10 06 12	40089.60	6.00	275.64	0.00	12.18	12.18	1260.04
1993 10 07 12	39744.00	1.50	262.02	0.00	11.11	11.11	1150.10
1993 10 08 12	39744.00	0.02	348.21	0.00	11.49	11.49	1040.58
1993 10 09 12	39398.40	0.03	356.68	0.00	13.92	13.92	969.20
1993 10 10 12	39398.40	0.00	291.34	0.00	13.67	13.67	928.21
1993 10 11 12	39052.80	1.35	139.73	0.00	13.60	13.60	1105.36
1993 10 12 12	38707.20	5.70	165.07	0.00	13.43	13.43	1380.55
1993 10 13 12	38707.20	0.51	181.97	0.00	13.45	13.45	1362.91
1993 10 14 12	38361.60	8.17	175.63	0.00	12.47	12.47	1333.12
1993 10 15 12	38361.60	13.00	172.67	0.00	10.70	10.70	1189.65
1993 10 16 12	38016.00	1.30	220.22	0.00	10.61	10.61	1126.28
1993 10 17 12	38016.00	0.00	283.50	0.00	10.08	10.08	1029.90
1993 10 18 12	37670.40	2.02	235.33	0.00	9.81	9.81	1054.12
1993 10 19 12	37664.36	2.20	314.04	0.00	11.33	11.33	1129.62
1993 10 20 12	37324.80	0.00	266.96	0.00	11.30	11.30	963.49
1993 10 21 12	36979.20	0.25	249.10	0.00	12.37	12.37	1123.55
1993 10 22 12	36979.20	17.84	90.10	0.00	12.07	12.07	1296.01
1993 10 23 12	36633.60	18.09	74.91	0.00	12.35	12.35	1344.97
1993 10 24 12	36633.60	4.14	295.81	0.00	10.79	10.79	1126.93
1993 10 25 12	36288.00	0.00	299.13	0.00	9.89	9.89	904.07
1993 10 26 12	36288.00	0.00	304.29	0.00	11.40	11.40	841.17
1993 10 27 12	35942.40	0.00	288.56	0.00	12.07	12.07	832.14
1993 10 28 12	35942.40	0.00	162.00	0.00	12.23	12.23	1084.40
1993 10 29 12	35596.80	0.00	286.35	0.00	12.23	12.23	1175.39
1993 10 30 12	35596.80	0.17	271.57	0.00	11.72	11.72	977.55
1993 10 31 12	35251.20	2.55	272.59	0.00	10.90	10.90	1127.22
1993 11 01 12	35251.20	0.00	268.91	0.00	7.81	7.81	856.26
1993 11 02 12	34905.60	0.00	277.92	0.00	9.14	9.14	774.14
1993 11 03 12	34905.60	16.60	285.00	0.00	11.39	11.39	1081.20
1993 11 04 12	34560.00	0.00	271.42	0.00	7.52	7.52	856.05
1993 11 05 12	34560.00	0.00	142.15	0.00	8.02	8.02	830.66
1993 11 06 12	34214.40	0.00	205.34	0.00	9.06	9.06	825.14
1993 11 07 12	34214.40	0.00	271.96	0.00	6.12	6.12	759.21
1993 11 08 12	33868.80	0.00	270.52	0.00	4.68	4.68	711.22
1993 11 09 12	33868.80	0.07	175.21	0.00	5.48	5.48	747.01
1993 11 10 12	33523.20	0.10	262.55	0.00	7.21	7.21	816.87
1993 11 11 12	33523.20	0.63	188.00	0.00	5.72	5.72	762.74
1993 11 12 12	33356.15	0.00	255.66	0.00	5.59	5.59	774.87
1993 11 13 12	33177.60	3.43	258.99	0.00	6.18	6.18	821.52
1993 11 14 12	33177.60	0.00	248.25	0.00	4.92	4.92	682.13
1993 11 15 12	32832.00	20.03	101.43	0.00	7.59	7.59	944.91
1993 11 16 12	32832.00	3.77	112.52	0.00	6.14	6.14	834.43
1993 11 17 12	32522.37	3.69	117.98	0.00	5.41	5.41	772.66
1993 11 18 12	32486.40	0.49	231.49	0.00	5.45	5.45	778.74
1993 11 19 12	32486.40	0.01	234.80	0.00	5.65	5.65	761.93
1993 11 20 12	32140.80	4.90	183.19	0.00	5.63	5.63	785.92
1993 11 21 12	32140.80	33.16	92.76	0.00	6.69	6.69	906.12
1993 11 22 12	32134.77	5.85	151.21	0.00	2.53	2.53	615.24
1993 11 23 12	31795.20	1.25	239.12	0.00	-1.77	-1.77	370.87
1993 11 24 12	31795.20	0.00	235.31	0.00	-2.39	-2.39	305.01
1993 11 25 12	31789.16	0.00	232.98	0.00	-0.52	-0.52	313.38
1993 11 26 12	31449.60	0.00	185.46	0.00	2.47	2.47	375.96
1993 11 27 12	31449.60	9.01	49.94	0.00	5.01	5.01	664.96
1993 11 28 12	31449.60	2.72	94.90	0.00	6.50	6.50	818.00
1993 11 29 12	31104.00	43.03	116.01	0.00	8.41	8.41	1040.41
1993 11 30 12	31104.00	27.80	82.87	0.00	6.57	6.57	912.05
1993 12 01 12	31104.00	65.48	107.33	0.00	9.91	9.91	1161.02
1993 12 02 12	31097.97	8.79	85.62	0.00	7.61	7.61	952.39
1993 12 03 12	30758.40	18.78	133.70	0.00	9.24	9.24	1088.25
