  33.72
1330.00
  22393821
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1993 09 29 12	42163.20	0.00	490.94	0.00	25.88	25.88	598.54
1993 09 30 12	41817.60	0.00	489.85	0.00	25.50	25.50	721.31
1993 10 01 12	41817.60	0.00	493.29	0.00	26.32	26.32	712.36
1993 10 02 12	41817.60	0.00	493.06	0.00	26.55	26.55	609.58
1993 10 03 12	41472.00	0.00	484.32	0.00	26.28	26.28	717.19
1993 10 04 12	41472.00	0.00	485.98	0.00	24.12	24.12	840.07
1993 10 05 12	41472.00	0.00	475.48	0.00	20.74	20.74	689.27
1993 10 06 12	41126.40	0.00	487.11	0.00	17.57	17.57	737.44
1993 10 07 12	41126.40	0.00	483.28	0.00	17.08	17.08	743.18
1993 10 08 12	40784.63	0.00	481.48	0.00	17.65	17.65	820.77
1993 10 09 12	40780.80	0.00	473.64	0.00	17.76	17.76	801.01
1993 10 10 12	40780.80	0.00	346.24	0.00	19.22	19.22	961.83
1993 10 11 12	40435.20	0.00	140.80	0.00	16.74	16.74	1125.34
1993 10 12 12	40435.20	0.00	459.50	0.00	17.12	17.12	1233.78
1993 10 13 12	40435.20	0.00	453.99	0.00	19.44	19.44	707.58
1993 10 14 12	40089.60	0.00	454.91	0.00	19.87	19.87	678.56
1993 10 15 12	40089.60	0.25	401.26	0.00	17.15	17.15	784.56
1993 10 16 12	40089.60	0.21	254.40	0.00	15.42	15.42	1062.47
1993 10 17 12	39744.00	0.34	457.44	0.00	12.88	12.88	943.04
1993 10 18 12	39744.00	0.00	450.59	0.00	12.21	12.21	756.22
1993 10 19 12	39744.00	0.00	453.41	0.00	15.14	15.14	607.10
1993 10 20 12	39398.40	0.00	455.78	0.00	16.84	16.84	437.37
1993 10 21 12	39398.40	0.00	430.70	0.00	18.21	18.21	430.60
1993 10 22 12	39398.40	0.00	354.79	0.00	19.44	19.44	451.82
1993 10 23 12	39052.80	0.00	444.95	0.00	18.96	18.96	427.81
