gauge_id;gauge_lat;gauge_lon;elev_mean;slope_mean;area_gages2;area_geospa_fabric
01013500;47.23739;-68.58264;250.31;21.64152;2252.7;2303.95
01333000;42.70897;-73.19677;485.91;74.78725;112.16;111.5
02046000;37.06709;-77.60249;86.64;6.04481;288.52;290.88
03010655;41.96173;-78.19807;635.06;32.95227;254.44;255.12
03439000;35.14333;-82.82472;863.18;63.23118;178.67;178.18
04015330;46.94688;-91.7924;337.69;19.16862;224.35;225.84
05057200;47.22916;-98.12482;447.5;2.33897;1897.33;1900.4
05291000;45.29163;-96.48756;432.13;8.90129;1046.78;1058.82
06221400;43.34551;-109.41014;3336.8;127.16435;227.88;231.93
07057500;36.62303;-92.24813;324.68;11.24276;1456.44;1456.46
07291000;31.50306;-90.7775;129.13;7.60783;479.3;482.23
08023080;31.97933;-93.93408;86.85;4.78985;187.61;198.91
08267500;36.54169;-105.5564;3006.6;149.08403;96.26;96.83
09035900;39.79582;-106.03057;3240.75;123.91195;72.84;71.67
09386900;35.28253;-108.55341;2341.65;37.39246;184.94;186.23
10234500;38.28053;-112.56827;2498.74;95.20992;236.42;238.37
10259000;33.76002;-116.55002;1233.96;169.65242;22.46;23.66
12010000;46.37399;-123.74348;145.18;47.2961;142.18;142.6
